Date	Distance (km)	Temps 	Allure (min/km)
09/02/2025	8,47	00:58:16	00:06:53
05/02/2025	4,96	00:35:28	00:07:09
01/02/2025	7,74	00:56:36	00:07:19
28/01/2025	4,96	00:35:54	00:07:14
26/01/2025	5,61	00:43:25	00:07:44
21/01/2025	4,96	00:35:27	00:07:09
19/01/2025	6,28	00:45:16	00:07:12
16/01/2025	4,92	00:34:34	00:07:02
12/01/2025	4,39	00:30:23	00:06:55
10/01/2025	5,17	00:37:30	00:07:15
07/01/2025	4,07	00:29:29	00:07:15
05/01/2025	5,94	00:44:44	00:07:32
03/01/2025	4,96	00:35:25	00:07:08
29/12/2024	5,2	00:38:07	00:07:20
27/12/2024	5,39	00:41:21	00:07:40
21/12/2024	6,45	00:48:10	00:07:28
18/12/2024	4,96	00:36:01	00:07:16
15/12/2024	4,36	00:31:15	00:07:10
08/12/2024	4,36	00:33:08	00:07:36
06/12/2024	4,5	00:31:47	00:07:04
03/12/2024	5	00:38:17	00:07:39
30/11/2024	6,13	00:44:38	00:07:17
26/11/2024	5,08	00:38:02	00:07:29
23/11/2024	4,46	00:32:57	00:07:23
17/11/2024	4,5	00:34:10	00:07:36
13/11/2024	5,26	00:39:57	00:07:36
09/11/2024	4,57	00:34:22	00:07:31
03/11/2024	4,46	00:35:06	00:07:52
29/10/2024	5,08	00:42:16	00:08:19
11/10/2024	4,53	00:35:58	00:07:56
06/09/2024	9,45	01:16:08	00:08:03
02/09/2024	4,45	00:36:01	00:08:06
31/08/2024	9,24	01:15:01	00:08:07
26/08/2024	4,47	00:37:08	00:08:18
24/08/2024	7,92	01:03:39	00:08:02
21/08/2024	4,49	00:37:39	00:08:23
19/08/2024	4,5	00:36:28	00:08:06
17/08/2024	7,21	00:54:10	00:07:31
15/08/2024	5,58	00:45:37	00:08:11
13/08/2024	4,65	00:39:29	00:08:29
06/08/2024	5,53	00:47:08	00:08:31
04/08/2024	4,53	00:34:56	00:07:43
02/08/2024	6,19	00:53:31	00:08:39
