Date	Distance (km)	Temps	Allure (min/km)
14/10/2025	3.77	00:31:59	00:08:29
17/10/2025	4.93	00:42:22	00:08:35
19/10/2025	5.03	00:51:49	00:10:18
21/10/2025	4.50	00:48:42	00:10:49
23/10/2025	6.07	01:00:12	00:09:56
25/10/2025	6.17	01:02:20	00:10:06
27/10/2025	5.77	00:58:45	00:10:11
31/10/2025	6.37	01:08:50	00:10:49
02/11/2025	6.48	01:00:06	00:09:17
04/11/2025	5.82	00:53:48	00:09:15
06/11/2025	8.50	01:18:20	00:09:12
09/11/2025	6.74	01:01:03	00:09:04
11/11/2025	5.70	00:52:32	00:09:13
13/11/2025	6.53	00:09:21	00:09:21
16/11/2025	7.27	00:08:26	00:08:26
18/11/2025	8.22	00:08:28	00:08:28
20/11/2025	6.30	00:54:08	00:08:35
23/11/2025	8.27	00:09:06	00:09:06
25/11/2025	9.20	00:08:42	00:08:42
27/11/2025	7.72	00:07:19	00:07:19
30/11/2025	9.67	00:08:06	00:08:06
02/12/2025	7.13	01:00:07	00:08:28
06/12/2025	6.36	00:47:12	00:07:25
08/12/2025	8.17	01:09:53	00:08:34
09/12/2025	7.86	01:07:33	00:08:36
13/12/2025	5.68	00:42:06	00:07:24
15/12/2025	10.19	01:28:04	00:08:38
17/12/2025	7.67	01:02:46	00:08:11
20/12/2025	5.62	00:45:57	00:08:10
22/12/2025	9.00	01:14:22	00:08:16
24/12/2025	5.63	00:44:55	00:07:58
24/12/2025	7.69	01:04:42	00:08:25
30/12/2025	10.51	01:25:32	00:08:09
02/01/2026	6.44	00:52:46	00:08:12
